EVTOPTAHCLE37;Yes, it is time to introduce our new Roman culture.;;;;;;;;;;;;x
tooltip_HCLE37_A;You and some of the vassals will convert to a new culture.;;;;;;;;;;;;x
EVTOPTBHCLE37;Perhaps later.;;;;;;;;;;;;x
tooltip_HCLE37_B;You are still able to convert through special decision.;;;;;;;;;;;;x
EVTDESCACLE38;[Root.GetTitledName],\nWe have come to the conclusion that our current culture will not lead us anywhere except to barbarism and devastation. Therefore, I invite you to turn to our new Roman culture, that will lead us to a more brighter future.\n\nSincerely, \n[From.GetTitledName];;;;;;;;;;;;x
EVTOPTACLE38;I will not betray the language and customs of my ancestors!;;;;;;;;;;;;x
EVTOPTBCLE38_A;If it is the [GetTitledName] will - so be it.;;;;;;;;;;;;x
EVTOPTBCLE38_B;If it is the [GetTitledName] will - so be it.;;;;;;;;;;;;x
EVTDESCACLE39;I shall not be part of this farce. I am a §Y[From.Culture.GetName]§!, and I will not abandon the customs of my ancestors!\n\nSincerely, \n[From.GetTitledName];;;;;;;;;;;;x
EVTDESCACLE40;I am happy to stand right beside you for the creation of our new Roman culture, my [Root.GetTitle].\n\nSincerely, \n[From.GetTitledName];;;;;;;;;;;;x
EVTDESCACLE41;[Root.GetTitledName],\nI have come to the conclusion to abide by the new state decree and convert to the Roman culture. I expect all my subordinates to follow me in this decision.\n\nSincerely, \n[From.GetTitledName];;;;;;;;;;;;;x

EVTTITLE_CLRE.1;The Third Rome;;;;;;;;;;;;x
EVTDESC_CLRE_A.1;Long ago, the lands of Russia were united under the rule of Caesar, whose name was eventually distorted to "Tsar". These were blessed times, blessed by the spirit of Pax Romana, but the coming of the Crucified God and the Event brought grief and suffering to this land. But finally, the scattered lands of Russia are united again under a single flag - the flag of the revived Roman Empire. [Root.GetDynName] was crowned in Moscow, otherwise referred to as the Tertia Roma, as the [Root.GetTitle] of Rome. This marks the beginning of a Great New Era for Russia!;;;;;;;;;;;;x
EVTDESC_CLRE_B.1;Long ago, in antediluvian times, Russia assumed the title of the Third Rome, becoming a bastion of Christianity instead of the Second Rome - Byzantium, destroyed by the Turkish barbarians. For centuries, the Third Rome has kept Christian traditions, but the Event have destroyed the Third Rome and brought grief and suffering to this land. But finally, after many years, the scattered lands of Russia are united once again under a single flag - the flag of the revived Roman Empire. [Root.GetDynName] was crowned in Moscow, otherwise referred to as the Tertia Roma, as the [Root.GetTitle] of Rome. This marks the beginning of a Great New Era for Russia!;;;;;;;;;;;;x
EVTDESC_CLRE_C.1;Long ago, in antediluvian times, the Third Rome was founded in the lands of Russia - a great empire, whose Red Legions conquered most of Eurasia, and who held back the onslaught of the German barbarians from the West. But the Event have destroyed the Third Rome and brought grief and suffering to this land. But finally, after many years, the scattered lands of Russia are united once again under a single flag - the flag of the revived Roman Empire. [Root.GetDynName] was crowned in Moscow, otherwise referred to as the Tertia Roma, as the [Root.GetTitle] of Rome. This marks the beginning of a Great New Era for Russia!;;;;;;;;;;;;x
EVTDESC_CLRE_D.1;The antediluvian novels told about glorious times, when the land, now called Russia, was ruled by another power. This power was Eurasia, a powerful empire that rivaled in its greatness only with such giants as Numenor, Nilfgaard and the Empire of Coruscant. And finally, after many centuries, Eurasia was restored. [Root.GetDynName] was crowned in Moscow, otherwise referred to as the Tertia Roma, as the [Root.GetTitle] of Eurasia. This marks the beginning of a Great New Era for Russia!;;;;;;;;;;;;x
EVTDESC_CLRE_E.1;Long ago, the lands of Russia were known as the lands of Third Rome. These were blessed times, blessed by the spirit of Pax Romana, but the coming of the Event brought grief and suffering to this land. But finally, the scattered lands of Russia are united again under a single flag - the flag of the revived Roman Empire. [Root.GetDynName] was crowned in Moscow, otherwise referred to as the Tertia Roma, as the [Root.GetTitle] of Rome. This marks the beginning of a Great New Era for Russia!;;;;;;;;;;;;x
CLREO.1;Roma Invicta!;;;;;;;;;;;;x
CLREO_B.1;For save and secure society!;;;;;;;;;;;;x
CLREO.4;I have a bad feeling about this...;;;;;;;;;;;;x
CLREO.3;It can't be true!;;;;;;;;;;;;x
CLREO.5;It can't be true!;;;;;;;;;;;;x

EVTTITLE_CLRE.2;Rise of the Purple Phoenix;;;;;;;;;;;;x
EVTTITLE_CLRE_B.2;The New Imperial Order;;;;;;;;;;;;x
EVTDESC_CLRE_A.2;Long ago, before the Event, the lands of the Romans flourished thanks to Pax Romana. But when the old gods were cast aside in favor of the Crucified God, the blessing of the Pax Romana was lost. Death, desolation and hordes of barbarian Turks from the east came to these lands. But finally, after millennia of suffering, the Roman Order was re-established in these lands. [Root.GetDynName] was crowned at Constantinople as [Root.GetTitle] of Rome. This marks the beginning of a Great New Era for the peoples of Mars!;;;;;;;;;;;;x
EVTDESC_CLRE_B.2;Long ago, before the Event, the great Roman Empire stands in land of Greece and Anatolia, been the Christianity bastion againts the barbarians of the East. This bastion have fallen, and grief an suffering under the yoke of Muslim conquerors have become a cruel reality for centuries. But finally, after millenia, the grand Roman banners of Constantinople have been raised once again. [Root.GetDynName] was crowned at Constantinople as [Root.GetTitle], and the Second Rome rises from the ashes of history, to conquer its old enemies in both the east and the west.;;;;;;;;;;;;x
EVTDESC_CLRE_C.2;Long ago, before the Event, the great Roman Empire stands in land of Greece and Anatolia, been the West bastion againts the barbarians of the East. This bastion have fallen, and grief an suffering under the yoke of Muslim conquerors have become a cruel reality for centuries. But finally, after millenia, the grand Roman banners of Constantinople have been raised once again. [Root.GetDynName] was crowned at Constantinople as [Root.GetTitle], and the Second Rome rises from the ashes of history, to conquer its old enemies in both the east and the west.;;;;;;;;;;;;x
EVTDESC_CLRE_D.2;Remnants of antediluvian novells tell of the existence of a once mighty empire with its capital in the gigantic city of Coruscant, also known as Constantinople or Istanbul. Finally, centuries later, the black banner of the Empire flies over the ancient walls of the city of Constantine, and [Root.GetDynName] was crowned at Constantinople as [Root.GetTitle] of Coruscant Empire.;;;;;;;;;;;;x
EVTDESC_CLRE_E.2;Long ago, before the Event, the great Roman Empire stands in land of Greece and Anatolia, been the West bastion againts the barbarians of the East. This bastion have fallen, and grief an suffering under the yoke of Muslim conquerors have become a cruel reality for centuries. But finally, after millenia, the grand Roman banners of Constantinople have been raised once again. [Root.GetDynName] was crowned at Constantinople as [Root.GetTitle], and the Second Rome rises from the ashes of history, to conquer its old enemies in both the east and the west.;;;;;;;;;;;;x
EVTTITLE_CLRE.3;The Return of the Emperor;;;;;;;;;;;;x
EVTDESC_CLRE_A.3;Before the rise of The Legion and its mighty Caesar, the lands of the South West laid scattered and squabaling between petty tribes and nomads. Now, by the Glory of Mars the Red Banners of the Legion flutter triumphantly in the desert sun. The city formerly known as Las Vegas, now the Shining Jewel of the Wastes, Nova Roma, stands as the heart of the Legion. With their victory comes a new proclomation from Caesar, the wastes will all come under Pax Nova Romana!;;;;;;;;;;;;x
EVTDESC_CLRE_B.3;For centuries, the lands of Italy were divided between warring principalities, city-states and small kingdoms, while the true past of this land remained forgotten among the ruins of the Eternal City. But finally, by the will of the Lord, the greatest of the states of antiquity was finally restored, and [Root.GetDynName] was crowned as [Root.GetTitle] of the restored Roman Empire in the city of Rome. Pax Romana has finally returned to the lands of Italy!;;;;;;;;;;;;x
EVTDESC_CLRE_C.3;For centuries, the lands of Italy were divided between warring principalities, city-states and small kingdoms, while the true past of this land remained forgotten among the ruins of the Eternal City. But finally, the greatest of the states of antiquity was finally restored, and [Root.GetDynName] was crowned as [Root.GetTitle] of the restored Roman Empire in the city of Rome. Pax Romana has finally returned to the lands of Italy!;;;;;;;;;;;;x
EVTDESC_CLRE_D.3;The antediluvian novels told about glorious times, when the land, now called Italy, was ruled by another power. This power was the empire of Nilfgaar, a powerful empire that rivaled in its greatness only with such giants as Numenor, Eurasia and the Empire of Coruscant. And finally, after many centuries, this empire was finally restored. [Root.GetDynName] was crowned in Rome as the [Root.GetTitle] of Nilfgaard. This marks the beginning for the lands of Italy!;;;;;;;;;;;;x
CLRE.4.title;The Caesar's Ascension;;;;;;;;;;;;x
CLRE.4.d;The Festival of the Ascension of Caesar is a festival held in March. According to legend, after the thrice-cursed traitor Brutus killed Caesar, on the tenth day after Octavianus, together with the Triumvirs, defeated the traitor, Caesar rose from the dead and blessed Octavianus to rule, after which Caesar ascended to Olympus to join the gods. During this holiday, the faithful Caesarians offer prayers to the gods, arrange magnificent feasts, and in the evening they burn the effigy symbolizing Brutus.;;;;;;;;;;;;x 
EVTOPTA_CLRE.4;Happy Ascension!;;;;;;;;;;;;x
CLRE.5.title;The Great Triumph;;;;;;;;;;;;x
CLRE.5.d;The Great Triumph is a celebration held in May. According to legend, in May, the troops of the Third Rome, led by the reborn Caesar Josefus Julius Ferrat, known among the Stalinists as Lord Stalin, managed to defeat the horde of germanic barbarians who came from the west. On this day, legionnaires hold military parades and lay flowers at the sanctuaries of the spirits of their fallen brothers.;;;;;;;;;;;;x 
EVTOPTA_CLRE.5;Glory to Third Rome!;;;;;;;;;;;;x
CLRE.12.title;Belisarius Day;;;;;;;;;;;;x
CLRE.12.d;Belisarius Day is a holiday dedicated to one of the incarnations of the Divine Caesar - Flavius Belisarius. According to legend, Belisarius managed to conquer vast territories of Rome from the godless barbarians, conquering Africa, Italy and Persia. On this day, spectacular theatrical performances are held dedicated to the numerous victories of Belisarius over the Germans, Turks, Berbers, Persians and other barbarian peoples.;;;;;;;;;;;;x 
EVTOPTA_CLRE.12;Glory to Rome!;;;;;;;;;;;;x
EVTNAMECLE22;The Romanization;;;;;;;;;;;;x 
EVTDESCCLE22;After a few months of occupation, the Legion have setup their new stronghold. Having conquered the first city in their way, they immediately began the process of romanizing the local population. As the locals have come to accept Caesar as their ruler and Mars as their god, the process comes to fruition. The first steps in building a new Rome have begun.;;;;;;;;;;;;x 
EVTOPTA_CLE22;We bring them civilization.;;;;;;;;;;;;x 
EVTOPTB_CLE22;I'm sure that they will fail.;;;;;;;;;;;;x 
celebrated_caesar_ascension;Celebrated Caesar's Ascension;;;;;;;;;;;;x 
celebrated_belisarius_day;Celebrated Belisarius Day;;;;;;;;;;;;x
celebrated_victoria_day;Celebrated Great Triumph;;;;;;;;;;;;x 
rulership_insight;Knowledge of Statecraft;;;;;;;;;;;;x 
diplomacy_insight;Knowledge of Diplomacy;;;;;;;;;;;;x 
military_insight;Knowledge of War;;;;;;;;;;;;x 
EVTDESC_CLE43;During the creation of our Caesar's Legion the line of succession of power has not yet been developed. But now we can finally reform our inheritance system.;;;;;;;;;;;;x 
EVTOPTA_CLE43;Good.;;;;;;;;;;;;x 
EVTDESCAHCLE44;If I want to rebuild the Roman Empire, I need a huge army to conquer the former imperial lands. Should I use my funds and titles to create a Legion worthy of the legions of Ancient Rome, or should I use less radical methods?;;;;;;;;;;;;x 
EVTOPTAHCLE44;The Caesar in Heavens demands it!;;;;;;;;;;;;x 
EVTOPTBHCLE44;Perhaps later...;;;;;;;;;;;;x 
DESCCLRE6;Our legionnaires successfully "romanized" one of the tribal settlement of local barbarians. Most of the local population was taken into slavery, some were killed while trying to resist, some, mostly young men, were forcibly recruited into the army and sent to distant garrisons, where they would be taught roman culture and discipline.;;;;;;;;;;;;x 
EVTOPTA_CLRE.6;Good.;;;;;;;;;;;;x 
CLRE.7.title;Collegium Pontificum Created;;;;;;;;;;;;x
CLRE.7.desc;Until now, the cultists of Mars had no supreme religious leader, and the rites created at the dawn of the faith had begun to drift apart. To preserve the true teachings, the College of Pontiffs has been established at the Temple of Goodsprings outside Las Vegas. The temple and the office of Pontifex Maximus have been entrusted to a high priest charged with guarding the unity and purity of the Cult of Mars.;;;;;;;;;;;;x
CLRE.19.desc;Until now, the cultists of Pompeius did not have a supreme leader of the church, and as a result, the religious practices and rituals created at the dawn of the Cult of Pompeius were distorted, just like the views regarding the nature of Pompeius divinity and his place among the gods. Therefore, the College of Pontiffs was created, a council of high priests headed by the Great Pontiff, who will monitor the purity of the Cult and protect it from internal and external dangers.;;;;;;;;;;;;x
EVTOPTACLRE19;In the Pompeius name!;;;;;;;;;;;;x 
EVTOPTACLRE7;This is not concern of ours...;;;;;;;;;;;;x 
CLREO.2;Interesting...;;;;;;;;;;;;x 
CLRE.8.title;The Praetorian Guard;;;;;;;;;;;;x 
CLRE.8.desc;From time immemorial, the Praetorian Guard, an elite cohort of Rome's finest warriors, guarded the incarnations of the Reborn Caesar until it was disbanded after the desctruction of the Empire. But millennia later, the Praetorian Guard was created again in order to guard the Cult of Mars and the future incarnations of the Reborn Caesar against heretics and infidels.;;;;;;;;;;;;x 
CLRE.9.desc;Now that the Roman Empire has been restored, it is necessary to decide what to do with Caesar's Legion. The Legion has fulfilled its task of conquering the lost lands of Rome and is no longer needed by the restored empire, but it still remains a significant force, which can definitely come in handy in the future. There are two options: the first - we can disband the Legion, and the second option - we can reform it into a new Imperial Army, which will guard the borders and the emperor. What should be done?;;;;;;;;;;;;x 
CLRE.9.title;Fate of the Legion;;;;;;;;;;;;x 
EVTOPTACLRE9;Reform this, the Legion may still be useful to us;;;;;;;;;;;;x  
EVTOPTBCLRE9;Disband it, the Legion is no longer needed;;;;;;;;;;;;x   
CLRE.11.title;A New Army;;;;;;;;;;;;x   
CLRE.11.desc;After the restoration of the Roman Empire, a new Imperial Legion was created - a professional army that will henceforth protect the Pax Romana and the Roman emperors from all possible external enemies. A solemn parade was held in the capital, and the Roman augurs made abundant sacrifices to the gods and the Divine Caesar. The Roman Empire have became even more dangerous.;;;;;;;;;;;;x    
CLRE.13.title;The Goddes of Russia;;;;;;;;;;;;x
CLRE.13.desc;Ever since Roman rule was established over Stalingrad, there have been controversies among the priests regarding the goddess of Mother Russia, whose gigantic statue stands in this province. Some priests claim that Mother Russia is a barbarian goddess who is not part of the Pax Romana, other priests claim that Mother Russia is the patroness and protector of the Third Rome. Should Mother Russia be recognized as part of the Roman pantheon?;;;;;;;;;;;;x 
EVTOPTACLRE13;Mother Russia will become part of the Roman pantheon!;;;;;;;;;;;;x
EVTOPTBCLRE13;Mother Russia is a barbarian goddess!;;;;;;;;;;;;x
EVTTITLE_CLRE.14;The Third Rome;;;;;;;;;;;;x
EVTDESC_CLRE.14;Long ago, the lands of Russia were united under the rule of Caesar, whose name was eventually distorted to "Tsar". These were blessed times, blessed by the spirit of Pax Romana, but the coming of the Crucified God and the Event brought grief and suffering to this land. But finally, the scattered lands of Russia are united once again under a single flag - the flag of the revived Roman Republic. This marks the beginning of a Great New Era for Russia!;;;;;;;;;;;;x
EVTTITLE_CLRE.15;The Rise of Purple Phoenix;;;;;;;;;;;;x
EVTDESC_CLRE.15;Long ago, before the Event, the lands of the Romans flourished thanks to Pax Romana. But when the old gods were cast aside in favor of the Crucified God, the blessing of the Pax Romana was lost. Death, desolation and hordes of barbarian Turks from the east came to these lands. But finally, after millennia of suffering, the Roman Order was re-established in these lands and the city of Constantine become the capital of a new Roman Republic. This marks the beginning of a Great New Era for the peoples of Mars!;;;;;;;;;;;;x
EVTTITLE_CLRE.16;The Republic Reborn;;;;;;;;;;;;x
EVTDESC_CLRE.16;Once upon a time, even before the Event, Rome, the Eternal City, ruled the entire known world. But when the hordes of barbarians conquered the Eternal City and the priest of the Crucified God reigned in the Rome, the Empire was destroyed. Deprived of Pax Romana, the world fell into disarray, which soon led to the Event. But finally, after millennia, the high priest of the Crucified God was finally expelled from the Eternal City, and a new Roman Republic was proclaimed in the Rome. Pax Romana has finally returned to the lands of Italy!;;;;;;;;;;;;x
EVTNAME_CLRE_030;Salt Lake City, the Third Rome;;;;;;;;;;;;x
EVTDESC_CLRE_030;After a long campaign north from the Mojave, Caesar's cohorts have won Salt Lake City. Legionaries forced the approaches, broke the defending line around the old temple district, and secured the roads and waterways beside the Great Salt Lake. Caesar has named the city the Third Rome of the Legion: a northern bastion commanding the routes between the desert, the Rockies, and the interior.;;;;;;;;;;;;x
EVTOPTA_CLRE_030;The Third Rome secures the northern road.;;;;;;;;;;;;;x
EVTNAME_CLRE_031;Las Vegas, the First Rome;;;;;;;;;;;;x
EVTDESC_CLRE_031;Caesar's Legion has prevailed in the battle for Las Vegas. After a hard march across the Mojave, the cohorts captured the wells, road junctions, and old pleasure palaces that dominate the city. Standards now line the Strip while engineers fortify its approaches. Caesar proclaims Las Vegas the First Rome of the Legion, its political heart and western seat of command.;;;;;;;;;;;;x
EVTOPTA_CLRE_031;The First Rome belongs to the Legion.;;;;;;;;;;;;;x
EVTNAME_CLRE_032;Los Angeles, the Second Rome;;;;;;;;;;;;x
EVTDESC_CLRE_032;After weeks of fighting through the basin, Caesar's Legion has won Los Angeles. The cohorts secured the mountain passes, civic center, and roads leading to the Pacific, compelling the remaining garrisons to surrender. From this great western metropolis the Legion can command the coast, and Caesar names it the Second Rome: a rival seat of power facing the ocean.;;;;;;;;;;;;x
