secret_religious_society_cult_of_mars;The Populares;;;;;;;;;x
secret_religious_society_cult_of_mars_desc;A long time ago, many millennia before the Event, there was a party of Populares in Rome. These were noble people who cared about the common people, and their leader was the Divine Caesar, whom the Populares brought to power. And a thousand years later, the Populares are again ready to bring the truth to the people.;;;;;;;;;x
secret_religious_society_cult_of_mars_currency;Devotion;Dйvotion;Hingabe;;Devociуn;;;;;;;;;x
secretly_convert_to_cult_of_pompeius_holy_site_desc;The §Y[cult_of_pompeius.GetName]§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pиlerins §Y[cult_of_pompeius.GetName]§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tentй[Root.Get_E] de me convertir en secret...;Die §Y[cult_of_pompeius.GetName]istischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Y[cult_of_pompeius.GetName]§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasiуn de su fe. Me tienta convertirme en secreto...;;;;;;;;;x

secret_religious_society_REAL_cult_of_mars;The Populares;;;;;;;;;;;;;x
secret_religious_society_cult_of_mars_desc_REAL;A long time ago, many millennia before the Event, there was a party of Populares in Rome. These were noble people who cared about the common people, and their leader was the Divine Caesar, whom the Populares brought to power. And a thousand years later, the Populares are again ready to bring the truth to the people.;;;;;;;;;;;;;x
secret_religious_society_REAL_cult_of_pompeius;The Optimates;;;;;;;;;;;;;x
secret_religious_society_cult_of_pompeius_desc_REAL;Optimates, "The Best" were the people who lived in the Sacred City of Pompeii - they were named so because they were kind, merciful and pious. But after the destruction of Pompeii, the surviving Optimates scattered throughout the world, not forgetting, however, their virtues. And now the Optimats are multiplying their number in order to rebuild the Holy City after the Return of Pompeius.;;;;;;;;;;;;;x
the_childrens_of_hanubaal;The Childrens of Hanu-Baal;;;;;;;;;;;;;x
the_childrens_of_hanubaal_desc;Long ago, in antediluvian times, Hannibal, the Archenemy of Rome, led an army of demonic creatures and damned souls against the Eternal City, hoping to destroy it. During the great war, Hannibal, however, was defeated and thrown into the depths of the underworld. And although Hannibal cannot get out of the depths of Hell, the whispers of the Archenemy seduces the impious souls, and insane cultists abduct and burn alive innocent children on the shrines of Hanu-Baal.;;;;;;;;;;;;;x 
String_Hannibal;Hanu-Baal;;;;;;;;;;;;;x
String_Praise_to_Hannibal;Glory to Hanu-Baal!;;;;;;;;;;;;;x
the_childrens_of_hanubaal_rank_1_female;Deceptor;;;;;;;;;;;;;x
the_childrens_of_hanubaal_rank_2_female;Abductor;;;;;;;;;;;;;x
the_childrens_of_hanubaal_rank_3_female;Incinerator;;;;;;;;;;;;;x
the_childrens_of_hanubaal_rank_4_female;High Incinerator;;;;;;;;;;;;;x
the_childrens_of_hanubaal_rank_1_male;Deceptor;;;;;;;;;;;;;x
the_childrens_of_hanubaal_rank_2_male;Abductor;;;;;;;;;;;;;x
the_childrens_of_hanubaal_rank_3_male;Incinerator;;;;;;;;;;;;;x
the_childrens_of_hanubaal_rank_4_male;High Incinerator;;;;;;;;;;;;;x
currency_name_the_childrens_of_hanubaal;Dark Power;Pouvoir obscur;Dunkle Macht;;Poder oscuro;;;;;;;;;x


